Sector,Orbit,Orbit_Start,Orbit_End,Camera,Cam_RA,Cam_Dec,Cam_Roll,ID
33.0,74.0,59214.93402777778,59227.07986111111,4,90.00,-66.56,80.32,74.0_4
34.0,75.0,59228.25,59240.413194444445,1,125.08,1.02,256.09,75.0_1
34.0,75.0,59228.25,59240.413194444445,2,119.02,-22.24,254.95,75.0_2
34.0,75.0,59228.25,59240.413194444445,3,110.40,-45.18,70.06,75.0_3
34.0,75.0,59228.25,59240.413194444445,4,90.00,-66.56,52.82,75.0_4
34.0,76.0,59241.48611111111,59253.572916666664,1,125.08,1.02,256.09,76.0_1
34.0,76.0,59241.48611111111,59253.572916666664,2,119.02,-22.24,254.95,76.0_2
34.0,76.0,59241.48611111111,59253.572916666664,3,110.40,-45.18,70.06,76.0_3
34.0,76.0,59241.48611111111,59253.572916666664,4,90.00,-66.56,52.82,76.0_4
35.0,77.0,59254.489583333336,59266.65625,1,149.12,-6.65,248.97,77.0_1
35.0,77.0,59254.489583333336,59266.65625,2,139.52,-28.87,245.98,77.0_2
35.0,77.0,59254.489583333336,59266.65625,3,124.58,-50.03,56.29,77.0_3
35.0,77.0,59254.489583333336,59266.65625,4,90.00,-66.56,26.32,77.0_4
35.0,78.0,59268.083333333336,59279.48611111111,1,149.12,-6.65,248.97,78.0_1
35.0,78.0,59268.083333333336,59279.48611111111,2,139.52,-28.87,245.98,78.0_2
35.0,78.0,59268.083333333336,59279.48611111111,3,124.58,-50.03,56.29,78.0_3
35.0,78.0,59268.083333333336,59279.48611111111,4,90.00,-66.56,26.32,78.0_4
36.0,79.0,59280.40277777778,59292.36111111111,1,172.19,-16.27,245.52,79.0_1
36.0,79.0,59280.40277777778,59292.36111111111,2,159.89,-37.69,239.83,79.0_2
36.0,79.0,59280.40277777778,59292.36111111111,3,137.97,-56.80,43.41,79.0_3
36.0,79.0,59280.40277777778,59292.36111111111,4,90.00,-66.56,0.50,79.0_4
36.0,80.0,59293.291666666664,59305.49652777778,1,172.19,-16.27,245.52,80.0_1
36.0,80.0,59293.291666666664,59305.49652777778,2,159.89,-37.69,239.83,80.0_2
36.0,80.0,59293.291666666664,59305.49652777778,3,137.97,-56.80,43.41,80.0_3
36.0,80.0,59293.291666666664,59305.49652777778,4,90.00,-66.56,0.50,80.0_4
37.0,81.0,59306.739583333336,59318.538194444445,1,196.22,-26.44,246.32,81.0_1
37.0,81.0,59306.739583333336,59318.538194444445,2,182.16,-47.75,237.67,81.0_2
37.0,81.0,59306.739583333336,59318.538194444445,3,151.00,-65.14,31.21,81.0_3
37.0,81.0,59306.739583333336,59318.538194444445,4,90.00,-66.56,334.70,81.0_4
37.0,82.0,59319.51736111111,59332.086805555555,1,196.22,-26.44,246.32,82.0_1
37.0,82.0,59319.51736111111,59332.086805555555,2,182.16,-47.75,237.67,82.0_2
37.0,82.0,59319.51736111111,59332.086805555555,3,151.00,-65.14,31.21,82.0_3
37.0,82.0,59319.51736111111,59332.086805555555,4,90.00,-66.56,334.70,82.0_4
38.0,83.0,59333.354166666664,59345.84027777778,1,223.78,-35.52,252.42,83.0_1
38.0,83.0,59333.354166666664,59345.84027777778,2,210.45,-57.81,242.52,83.0_2
38.0,83.0,59333.354166666664,59345.84027777778,3,164.45,-74.88,19.59,83.0_3
38.0,83.0,59333.354166666664,59345.84027777778,4,90.00,-66.56,308.17,83.0_4
38.0,84.0,59346.79861111111,59360.05902777778,1,223.78,-35.52,252.42,84.0_1
38.0,84.0,59346.79861111111,59360.05902777778,2,210.45,-57.81,242.52,84.0_2
38.0,84.0,59346.79861111111,59360.05902777778,3,164.45,-74.88,19.59,84.0_3
38.0,84.0,59346.79861111111,59360.05902777778,4,90.00,-66.56,308.17,84.0_4
39.0,85.0,59361.270833333336,59374.364583333336,1,256.42,-40.93,264.36,85.0_1
39.0,85.0,59361.270833333336,59374.364583333336,2,251.04,-64.73,259.98,85.0_2
39.0,85.0,59361.270833333336,59374.364583333336,3,182.47,-85.64,12.32,85.0_3
39.0,85.0,59361.270833333336,59374.364583333336,4,90.01,-66.56,280.76,85.0_4
39.0,86.0,59375.36111111111,59389.225694444445,1,256.42,-40.93,264.36,86.0_1
39.0,86.0,59375.36111111111,59389.225694444445,2,251.04,-64.73,259.98,86.0_2
39.0,86.0,59375.36111111111,59389.225694444445,3,182.47,-85.64,12.32,86.0_3
